Line;Category
 التواضع من مصائد الشرف.;المدح ومكارم الأخلاق
 التواضع هو سر النجاح ومحبة الناس.;التواضع
 الجزاء من جنس العمل.;العدل
 الجزع عند المصيبة مصيبة.;الصبر والمواساة
 الجود بالنفس أقصى غاية الجود.;العزة والشجاعة
 الحب أعمى.;الحب
 الحفاظ على النظافة الشخصية تضمن الحفاظ على صحة الجسم بشكلٍ كبير ومنع إصابته بأي أمراض ناتجة عن الأوساخ وقلة النظافة.;النظافة
 الحفاظ على النظافة الشخصية من الأشياء التي أمر بها الدين الحنيف وحثّ عليها النبي -عليه السلام- لأنّها أساس القيام بالعديد من العبادات، ومن بينها الصلاة.;النظافة
 الحفاظ على النظافة الشخصية من الأمور التي يجب أن تكون من المسلمات قبل المجيء إلى المدرسة، لأنها تعكس مدى اهتمام الطالب بنفسه وحفاظه على صحته.;النظافة
 الحفاظ على نظافة الطفل الشخصية من قبل الأم تعلم الطفل أن يقوم بهذا دومًا بشكلٍ عفوي وفطري، لأنه يقلد أمه في كلّ شيء ويتعلم منها جميع الخطوات.;النظافة
 الحق دولة والباطل جولة.;العدل
 الحق لا يشبه الباطل وإنّما يموه بالباطل عند من لا فهم له. ;الحق
 الحِلْمُ سيد الأخلاق.;المدح ومكارم الأخلاق
" الحياة أمانة يُعهد لك بها، ولا يحق لك يوم تسترد منك أن تحتج؛ لأنها في الحقيقة ليست ملكك.";الأمانة
 الحياة عبارة عن مكان مروع وبشع إذا لم تمتلك أصدقاء حقيقيون يهتمون لأجلك.;الأخوة والصداقة
 الخائن يكرهه الجميع.;الخيانة
 الخيانة تغفر ولا تنسى.;الخيانة
 الخيانة تقع ما إن تصبح فكرة.;الخيانة
 الخيانة تنشأ من الثقة.;الخيانة
 الخيانة كالموت لا تسمح البتة بالفوارق.;الخيانة
 الخيانة كالهواء تدلف إلى منازلنا بمجرد فتح الباب.;الخيانة
 الخيانة لا تزدهر، لأنها إذا ازدهرت فلن يجرؤ أحد على تسميتها خيانة.;الغدر
" الخيانة لا تنجح أبداً؛ لأنها حين تنجع نعطيها اسما آخر.";الخيانة
 الخيانة لا تنسى.;الخيانة
 الخيانة هي الجريمة التي يدفع ثمنها من لم يقترفوها.;الخيانة
 الدال على الخير كفاعله.;المدح ومكارم الأخلاق
 الدكتور سيوس: بالنسبة للعالم، قد تكون مجرد شخص واحد، ولكن بالنسبة لشخص واحد قد تكون أنت العالم.;الأخوة والصداقة
 الدهر يومان حلو ومر.;الحذر
 الرأي قبل شجاعة الشجعان.;المشورة
 الرجوع إلى الحق خير من التمادي في الباطل.;العدل
 الرحمة في الله حياة;الرحمة 
 الرمد أهون من العمى.;الصبر والمواساة
 الزهو بالخلو من الزهو هو أثقل ضروب الزهو وأصعبها على الاحتمال أثقل الغرور التواضع الزائف.;التواضع
 السعادة صحة جيدة وذاكرة سيئة.;الخبرة في الحياة
 السكوت علامة الرضا.;السكوت والكلام
 السلام ليس غياب القوة السلام هو حضور الحب.;السلام
 السماء لا تمطر ذهباً ولا فضة.;الجد والعمل
 السيف أهول ما يُرى مسلولاً.;العزة والشجاعة
 السيف يقطع بحده المرء يسعى بجده.;الجد والعمل
 الشخص الذي يخبرك كيف تفعل الشيء بالشكل الصحيح، هو الصديق الحقيقي الذي يمكنك الاعتماد عليه.;الأخوة والصداقة
 الشخص المتواضع هو الذي يمتلك الكثير ليتواضع به.;التواضع
 الشريف إذا تَقَوَّى تواضع والوضيع إذا تَقَوَّى تكبر.;المدح ومكارم الأخلاق
 الشكر أفضل ما حاولت ملتمسا به الزيادة عند الله والناس  ;الشكر
 الشيء المؤسف والمحزن أن الظلم لا يأتي من أعدائنا بل من أقاربنا.;الظلم
 الصادق من يصدق في أفعاله صدقه في أقواله.;الصدق
 الصبر صبران: صبر على ما تكره وصبر على ما تحب.;الصبر والمواساة
 الصبر صبران: صبرٌ على ما تكره وصبرٌ على ما تحب.;الصبر
 الصبر عند الأكل يسمّى قناعة.;الصبر
 الصبر عند الصدمة الأولى.;الصبر والمواساة
 الصّبر عند الصدمة الأولى.;الصبر
 الصبر عند المصيبة يسمّى إيماناً.;الصبر
 الصّبر عند حفظ السر يسمّى كتماناً.;الصبر
 الصبر مفتاح الفرج.;الصبر والمواساة
 الصّبر مفتاح الفرج.;الصبر
 الصّبر من أجل الصّداقة يسمّى وفاءً.;الصبر
 الصّداقة الحقيقيّة زهرة بيضاء تنبت في القلب وتتفتّح في القلب، لكنّها لا تذبل.;الأخوة والصداقة
 الصّداقة الحقيقيّة كالعلاقة بين العين واليد، إذا تألّمت اليد دمعت العين، وإذا دمعت العين مسحتها اليد.;الأخوة والصداقة
 الصّداقة الحقيقيّة كالمظلّة، كلّما اشتّدّ المطر، كلّما ازدادت الحاجة لها.;الأخوة والصداقة
 الصّداقة الحقيقيّة كلمة تسرح بها في خيالك، لعلّك تصل إلى بحر ليس له نهاية، كلمة تحلم بها دائماً، تتمنّاها وتتوق لتحقيقها، حروفها ليست ككلّ الحروف.;الأخوة والصداقة
 الصّداقة الحقيقيّة لا تغيب مثلما تغيب الشّمس، الصّداقة الحقيقيّة لا تذوب مثلما يذوب الثّلج، الصّداقة الحقيقيّة لا تموت إلّا إذا مات الحبّ.;الأخوة والصداقة
 الصداقة القوية لا تحتاج إلى محادثة يومية أو أن نكون معًا، طالما أن العلاقة تعيش في القلب، فإن الأصدقاء الحقيقيين لا ينفصلون أبدًا.;الأخوة والصداقة
 الصداقة شجرة عظيمة، تسقى بالمحبة والوفاء، وتنمو بالمواقف الصادقة.;الأخوة والصداقة
 الصداقة هي أصعب شيء في العالم يمكن شرحه، إنها شيء لا يدرّس ولكن إذا لم تتعلم المعنى الحقيقي للصداقة، فأنت لم تتعلم شيء في الحياة.;الأخوة والصداقة
 الصداقة هي علاقة مترابطة بين شخصين، تحارب من أجلهم ويحاربون من أجلك لا تمشي مبتعداً ولا تنشغل عنهم الأصدقاء جزء من علاقة وطيدة تربط الحياة والإيمان معاً.;الأخوة والصداقة
 الصدقُ أفضلُ شيءٍ أنت فاعلهُ.. لا شيءَ كالصدقِ لا فخرٌ ولا حسبُ.;الصدق
 الصدق أن لا يكذب اللسان، والصديقية أن لا يكذب القلب.;الصدق
 الصدق ربيع القلب، وزكاة الخلقة، وثمرة المروءة، وشعاع الضمير.;الصدق
 الصدق عز والباطل ذل.;الصدق
 الصدق عمود الدين وركن الأدب وأصل المروءة.;الصدق
 الصدق موجود والكذب اختراع.;الكذب
 الصديق الحقيقي هو الشخص الذي لا نمل الحديث معه مهما طالت ساعات الكلام.;الأخوة والصداقة
 الصديق الذي يفهم دموعك هو أكثر قيمة بكثير من الأصدقاء الذين يعرفون فقط ابتسامتك.;الأخوة والصداقة
 الصديق إما أن ينفع وإما أن يشفع.;الصداقة
 الصديق هو الشخص الوحيد الذي تتخيل نفسك معه في أي وقت.;الأخوة والصداقة
 الصديق هو شخص يعلم كل شيء يخص حياتك ويبقى يحبك.;الأخوة والصداقة
 الصديق هو شخص يفهم ماضيك ويؤمن بمستقبلك ويقبلك كما أنت.;الأخوة والصداقة
 الصديق وقت الضيق.;الصداقة
 الظلم ظلمات يوم القيامة، فلا يوجد مفرًا من معاقبتهم.;الظلم
 الظلم من طبع النفوس، فعليك الانتباه جيدًا قبل فعل أي موقف مع أي شخص وأولهم نفسك.;الظلم
 الظلم مؤذن بخراب العمران. ;الظلم
 الظلم يسلب كلاً من الظالم والمظلوم حريته.;الظلم
 العاقل لا يبطل حقاً ولا يحق باطلاً.;العدل
 العتاب هدية الأحباب.;الصداقة
 العدل أساس الْمُلْك.;العدل
 العز في نواصي الخيل.;العزة والشجاعة
 العلم زين فكن للعلم مكتسباً وكن له طالبًا ما عشت مقتبسا.;الخبرة في الحياة
 العلم يجدي ويبقى للفتى أبدا والمال يفنى وإن أجدى إلى حين.;الخبرة في الحياة
 العلم يرفع بيتاً لا عماد له والجهل يهدم بيت العز والشرف.;الخبرة في الحياة
 العمل أبلغ خطابٍ.;الجد والعمل
 العيش في الدنيا جهاد دائم.;الجد والعمل
